"","key_ID","parliament_ID","session_ID","question_ID","question_number","member_ID","member_name","constituency","event_ID","date","event"
"2541",2541,42,"42-1","42-1-Q-1086","Q-1086",87,"Rachel Blaney","North Island—Powell River",2,"2017/09/18","Made an Order for Return and answer tabled "
"2542",2542,42,"42-1","42-1-Q-1086","Q-1086",88,"Steven Blaney","North Island—Powell River",2,"2017/09/18","Made an Order for Return and answer tabled "
"2543",2543,42,"42-1","42-1-Q-1086","Q-1086",87,"Rachel Blaney","North Island—Powell River",1,"2017/06/13","Notice"
"2544",2544,42,"42-1","42-1-Q-1086","Q-1086",88,"Steven Blaney","North Island—Powell River",1,"2017/06/13","Notice"
"2545",2545,42,"42-1","42-1-Q-1087","Q-1087",610,"Anne Minh-Thu Quach","Salaberry—Suroît",2,"2017/09/18","Made an Order for Return and answer tabled "
"2546",2546,42,"42-1","42-1-Q-1087","Q-1087",610,"Anne Minh-Thu Quach","Salaberry—Suroît",1,"2017/06/13","Notice"
"2547",2547,42,"42-1","42-1-Q-1088","Q-1088",755,"Dave Van Kesteren","Chatham-Kent—Leamington",2,"2017/09/18","Made an Order for Return and answer tabled "
"2548",2548,42,"42-1","42-1-Q-1088","Q-1088",755,"Dave Van Kesteren","Chatham-Kent—Leamington",1,"2017/06/13","Notice"
"2549",2549,42,"42-1","42-1-Q-1089","Q-1089",446,"Ben Lobb","Huron—Bruce",2,"2017/09/18","Made an Order for Return and answer tabled "
"2550",2550,42,"42-1","42-1-Q-1089","Q-1089",446,"Ben Lobb","Huron—Bruce",1,"2017/06/14","Notice"
"2551",2551,42,"42-1","42-1-Q-1090","Q-1090",446,"Ben Lobb","Huron—Bruce",1,"2017/06/14","Notice"
"2552",2552,42,"42-1","42-1-Q-1090","Q-1090",446,"Ben Lobb","Huron—Bruce",2,"2017/09/18","Made an Order for Return and answer tabled "
"2553",2553,42,"42-1","42-1-Q-1091","Q-1091",446,"Ben Lobb","Huron—Bruce",2,"2017/09/18","Made an Order for Return and answer tabled "
"2554",2554,42,"42-1","42-1-Q-1091","Q-1091",446,"Ben Lobb","Huron—Bruce",1,"2017/06/14","Notice"
"2555",2555,42,"42-1","42-1-Q-1092","Q-1092",422,"Hélène Laverdière","Laurier—Sainte-Marie",2,"2017/09/18","Made an Order for Return and answer tabled "
"2556",2556,42,"42-1","42-1-Q-1092","Q-1092",422,"Hélène Laverdière","Laurier—Sainte-Marie",1,"2017/06/15","Notice"
"2557",2557,42,"42-1","42-1-Q-1093","Q-1093",422,"Hélène Laverdière","Laurier—Sainte-Marie",1,"2017/06/15","Notice"
"2558",2558,42,"42-1","42-1-Q-1093","Q-1093",422,"Hélène Laverdière","Laurier—Sainte-Marie",2,"2017/09/18","Made an Order for Return and answer tabled "
"2559",2559,42,"42-1","42-1-Q-1094","Q-1094",422,"Hélène Laverdière","Laurier—Sainte-Marie",2,"2017/09/18","Made an Order for Return and answer tabled "
"2560",2560,42,"42-1","42-1-Q-1094","Q-1094",422,"Hélène Laverdière","Laurier—Sainte-Marie",1,"2017/06/15","Notice"
"2561",2561,42,"42-1","42-1-Q-1095","Q-1095",422,"Hélène Laverdière","Laurier—Sainte-Marie",1,"2017/06/15","Notice"
"2562",2562,42,"42-1","42-1-Q-1095","Q-1095",422,"Hélène Laverdière","Laurier—Sainte-Marie",2,"2017/09/18","Made an Order for Return and answer tabled "
"2563",2563,42,"42-1","42-1-Q-1096","Q-1096",771,"Chris Warkentin","Grande Prairie—Mackenzie",2,"2017/09/18","Answered"
"2564",2564,42,"42-1","42-1-Q-1096","Q-1096",771,"Chris Warkentin","Grande Prairie—Mackenzie",1,"2017/06/15","Notice"
"2565",2565,42,"42-1","42-1-Q-1097","Q-1097",771,"Chris Warkentin","Grande Prairie—Mackenzie",2,"2017/09/18","Answered"
"2566",2566,42,"42-1","42-1-Q-1097","Q-1097",771,"Chris Warkentin","Grande Prairie—Mackenzie",1,"2017/06/15","Notice"
"2567",2567,42,"42-1","42-1-Q-1099","Q-1099",485,"Irene Mathyssen","London—Fanshawe",1,"2017/06/15","Notice"
