"Downloaded on",05/09/2020,"21:07:08 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22members%22%2C%22chamber%22%3A%22Senate%22%7D

Name,URL,State,District,Party,Terms
"Senator Ensign, John",https://www.congress.gov/member/john-ensign/E000194,Nevada,,Republican,"Senate: 2001-2011 | House: 1995-1999"
"Senator Enzi, Michael B.",https://www.congress.gov/member/michael-enzi/E000285,Wyoming,,Republican,"Senate: 1997-Present"
"Senator Ernst, Joni ",https://www.congress.gov/member/joni-ernst/E000295,Iowa,,Republican,"Senate: 2015-Present"
"Senator Ervin, Sam J., Jr.",https://www.congress.gov/member/samuel-ervin/E000211,"North Carolina",,Democratic,"Senate: 1973-1975 | House: 1945-1947"
"Senator Evans, Daniel J.",https://www.congress.gov/member/daniel-evans/E000236,Washington,,Republican,"Senate: 1983-1989"
"Senator Exon, J. James",https://www.congress.gov/member/john-exon/E000284,Nebraska,,Democratic,"Senate: 1979-1997"
"Senator Faircloth, Lauch",https://www.congress.gov/member/duncan-faircloth/F000437,"North Carolina",,Republican,"Senate: 1993-1999"
"Senator Fannin, Paul J.",https://www.congress.gov/member/paul-fannin/F000013,Arizona,,Republican,"Senate: 1965-1977"
"Senator Feingold, Russell D.",https://www.congress.gov/member/russell-feingold/F000061,Wisconsin,,Democratic,"Senate: 1993-2011"
"Senator Feinstein, Dianne",https://www.congress.gov/member/dianne-feinstein/F000062,California,,Democratic,"Senate: 1992-Present"
"Senator Fischer, Deb",https://www.congress.gov/member/deb-fischer/F000463,Nebraska,,Republican,"Senate: 2013-Present"
"Senator Fitzgerald, Peter",https://www.congress.gov/member/peter-fitzgerald/F000442,Illinois,,Republican,"Senate: 1999-2005"
"Senator Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Arizona,,Republican,"Senate: 2013-2019 | House: 2001-2013"
"Senator Fong, Hiram L.",https://www.congress.gov/member/hiram-fong/F000245,Hawaii,,Republican,"Senate: 1959-1977"
"Senator Ford, Wendell H.",https://www.congress.gov/member/wendell-ford/F000268,Kentucky,,Democratic,"Senate: 1975-1999"
"Senator Fowler, Wyche, Jr.",https://www.congress.gov/member/wyche-fowler/F000329,Georgia,,Democratic,"Senate: 1987-1993 | House: 1977-1987"
"Senator Frahm, Sheila",https://www.congress.gov/member/sheila-frahm/F000438,Kansas,,Republican,"Senate: 1995-1997"
"Senator Franken, Al",https://www.congress.gov/member/al-franken/F000457,Minnesota,,Democratic,"Senate: 2009-2018"
"Senator Frist, William H.",https://www.congress.gov/member/william-frist/F000439,Tennessee,,Republican,"Senate: 1995-2007"
"Senator Fulbright, James",https://www.congress.gov/member/james-fulbright/F000401,Arkansas,,Democratic,"Senate: 1945-1947, 1973-1975 | House: 1943-1945"
"Senator Gardner, Cory",https://www.congress.gov/member/cory-gardner/G000562,Colorado,,Republican,"Senate: 2015-Present | House: 2011-2015"
"Senator Garn, E. J. (Jake)",https://www.congress.gov/member/edwin-garn/G000072,Utah,,Republican,"Senate: 1975-1993"
"Senator Gillibrand, Kirsten E.",https://www.congress.gov/member/kirsten-gillibrand/G000555,"New York",,Democratic,"Senate: 2009-Present | House: 2007-2009"
"Senator Glenn, John H., Jr.",https://www.congress.gov/member/john-glenn/G000236,Ohio,,Democratic,"Senate: 1975-1999"
"Senator Goldwater, Barry",https://www.congress.gov/member/barry-goldwater/G000267,Arizona,,Republican,"Senate: 1953-1965, 1969-1987"
"Senator Goodwin, Carte Patrick",https://www.congress.gov/member/carte-goodwin/G000561,"West Virginia",,Democratic,"Senate: 2010"
"Senator Gore, Albert, Jr.",https://www.congress.gov/member/albert-gore/G000321,Tennessee,,Democratic,"Senate: 1985-1993 | House: 1977-1985"
"Senator Gorton, Slade",https://www.congress.gov/member/thomas-gorton/G000333,Washington,,Republican,"Senate: 1981-1987, 1989-2001"
"Senator Graham, Bob",https://www.congress.gov/member/daniel-graham/G000352,Florida,,Democratic,"Senate: 1987-2005"
"Senator Graham, Lindsey",https://www.congress.gov/member/lindsey-graham/G000359,"South Carolina",,Republican,"Senate: 2003-Present | House: 1995-2003"
"Senator Gramm, Phil",https://www.congress.gov/member/william-gramm/G000365,Texas,,Republican,"Senate: 1985-2002 | House: 1979-1985"
"Senator Grams, Rod",https://www.congress.gov/member/rod-grams/G000367,Minnesota,,Republican,"Senate: 1995-2001 | House: 1993-1995"
"Senator Grassley, Chuck",https://www.congress.gov/member/charles-grassley/G000386,Iowa,,Republican,"Senate: 1981-Present | House: 1975-1981"
"Senator Gravel, Mike",https://www.congress.gov/member/maurice-gravel/G000388,Alaska,,Democratic,"Senate: 1969-1981"
"Senator Gregg, Judd",https://www.congress.gov/member/judd-gregg/G000445,"New Hampshire",,Republican,"Senate: 1993-2011 | House: 1981-1989"
"Senator Griffin, Robert P.",https://www.congress.gov/member/robert-griffin/G000465,Michigan,,Republican,"Senate: 1973-1979 | House: 1957-1965"
"Senator Gurney, Edward J.",https://www.congress.gov/member/edward-gurney/G000531,Florida,,Republican,"Senate: 1973-1975 | House: 1963-1969"
"Senator Hagan, Kay R.",https://www.congress.gov/member/kay-hagan/H001049,"North Carolina",,Democratic,"Senate: 2009-2015"
"Senator Hagel, Chuck",https://www.congress.gov/member/chuck-hagel/H001028,Nebraska,,Republican,"Senate: 1997-2009"
"Senator Hansen, Clifford P.",https://www.congress.gov/member/clifford-hansen/H000170,Wyoming,,Republican,"Senate: 1967-1979"
"Senator Harkin, Tom",https://www.congress.gov/member/thomas-harkin/H000206,Iowa,,Democratic,"Senate: 1985-2015 | House: 1975-1985"
"Senator Harris, Kamala D.",https://www.congress.gov/member/kamala-harris/H001075,California,,Democratic,"Senate: 2017-Present"
"Senator Hart, Gary W.",https://www.congress.gov/member/gary-hart/H000287,Colorado,,Democratic,"Senate: 1975-1987"
"Senator Hart, Philip A.",https://www.congress.gov/member/philip-hart/H000291,Michigan,,Democratic,"Senate: 1959-1977"
"Senator Hartke, Vance",https://www.congress.gov/member/rupert-hartke/H000297,Indiana,,Democratic,"Senate: 1959-1977"
"Senator Haskell, Floyd K.",https://www.congress.gov/member/floyd-haskell/H000317,Colorado,,Democratic,"Senate: 1973-1979"
"Senator Hassan, Margaret Wood",https://www.congress.gov/member/margaret-hassan/H001076,"New Hampshire",,Democratic,"Senate: 2017-Present"
"Senator Hatch, Orrin G.",https://www.congress.gov/member/orrin-hatch/H000338,Utah,,Republican,"Senate: 1977-2019"
"Senator Hatfield, Mark O.",https://www.congress.gov/member/mark-hatfield/H000343,Oregon,,Republican,"Senate: 1967-1997"
"Senator Hatfield, Paul",https://www.congress.gov/member/paul-hatfield/H000344,Montana,,Democratic,"Senate: 1977-1979"
"Senator Hathaway, William D.",https://www.congress.gov/member/william-hathaway/H000346,Maine,,Democratic,"Senate: 1973-1979 | House: 1965-1973"
"Senator Hawkins, Paula",https://www.congress.gov/member/paula-hawkins/H000374,Florida,,Republican,"Senate: 1981-1987"
"Senator Hawley, Josh ",https://www.congress.gov/member/josh-hawley/H001089,Missouri,,Republican,"Senate: 2019-Present"
"Senator Hayakawa, Samuel Ichiye",https://www.congress.gov/member/samuel-hayakawa/H000384,California,,Republican,"Senate: 1977-1983"
"Senator Hecht, Chic",https://www.congress.gov/member/jacob-hecht/H000439,Nevada,,Republican,"Senate: 1983-1989"
"Senator Heflin, Howell",https://www.congress.gov/member/howell-heflin/H000445,Alabama,,Democratic,"Senate: 1979-1997"
"Senator Heinrich, Martin",https://www.congress.gov/member/martin-heinrich/H001046,"New Mexico",,Democratic,"Senate: 2013-Present | House: 2009-2013"
"Senator Heinz, John",https://www.congress.gov/member/henry-heinz/H000456,Pennsylvania,,Republican,"Senate: 1977-1993 | House: 1971-1977"
"Senator Heitkamp, Heidi",https://www.congress.gov/member/heidi-heitkamp/H001069,"North Dakota",,Democratic,"Senate: 2013-2019"
"Senator Heller, Dean",https://www.congress.gov/member/dean-heller/H001041,Nevada,,Republican,"Senate: 2011-2019 | House: 2007-2011"
"Senator Helms, Jesse",https://www.congress.gov/member/jesse-helms/H000463,"North Carolina",,Republican,"Senate: 1973-2003"
"Senator Hirono, Mazie K.",https://www.congress.gov/member/mazie-hirono/H001042,Hawaii,,Democratic,"Senate: 2013-Present | House: 2007-2013"
"Senator Hodges, Kaneaster, Jr.",https://www.congress.gov/member/kaneaster-hodges/H000675,Arkansas,,Democratic,"Senate: 1977-1979"
"Senator Hoeven, John",https://www.congress.gov/member/john-hoeven/H001061,"North Dakota",,Republican,"Senate: 2011-Present"
"Senator Hollings, Ernest F.",https://www.congress.gov/member/ernest-hollings/H000725,"South Carolina",,Democratic,"Senate: 1965-2005"
"Senator Hruska, Roman L.",https://www.congress.gov/member/roman-hruska/H000875,Nebraska,,Republican,"Senate: 1953-1977"
"Senator Huddleston, Walter (Dee)",https://www.congress.gov/member/walter-huddleston/H000905,Kentucky,,Democratic,"Senate: 1973-1985"
"Senator Hughes, Harold E.",https://www.congress.gov/member/harold-hughes/H000922,Iowa,,Democratic,"Senate: 1969-1975"
"Senator Humphrey, Gordon J.",https://www.congress.gov/member/gordon-humphrey/H000951,"New Hampshire",,Republican,"Senate: 1979-1991"
"Senator Humphrey, Hubert H.",https://www.congress.gov/member/hubert-humphrey/H000953,Minnesota,,Democratic,"Senate: 1949-1965, 1971-1979"
"Senator Humphrey, Muriel",https://www.congress.gov/member/muriel-humphrey/H000956,Minnesota,,Democratic,"Senate: 1977-1979"
"Senator Hutchinson, Tim",https://www.congress.gov/member/tim-hutchinson/H001015,Arkansas,,Republican,"Senate: 1997-2003 | House: 1993-1997"
